"Country Name","Country Code","Classification Name","Classification Code","Sector Name","Sector Code","Unit Name","Unit Code",Attribute,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Indicator Code","Global DSD Time Series Code",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Value",,,,,"0.00041831758752157","0.000106805991174705","0","2.1900786228376E-07","0","0","0","0","0","0","0","0","0","0","0",,"GEI_G14_GDP_PT","A|CV|S1314|W0|S1|G24|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Status","NA","NA","NA","NA","","","","","","","","","","","","","","","","",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","","","NA","NA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Cabo Verde","624","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Nature of data","","","NA","NA","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","",
"Lebanon","446","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Status","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Lebanon","446","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Lebanon","446","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Lebanon","446","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Lebanon","446","Interest expense","W0|S1|G24","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Nature of data","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Oman","449","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Status","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","","",,,,,
"Oman","449","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",,,,,
"Oman","449","Interest expense","W0|S1|G24","Local governments","S1313","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","","","",,,,,
